text,img,aspect,label
RT @ ltsChuckBass : Chuck Bass is everything # MCM,1860693.jpg,Chuck Bass,2
RT @ ltsChuckBass : Chuck Bass is everything # MCM,1860693.jpg,# MCM,1
Millions For Trayvon September 7 - - - - Shut Down New York City,195984.jpg,Millions For Trayvon,1
Millions For Trayvon September 7 - - - - Shut Down New York City,195984.jpg,New York City,0
Me as John Lennon .,871618.jpg,John Lennon,2
Former Bridgecorp boss Rod Petricevic will be released from jail next month .,280704.jpg,Bridgecorp,1
Former Bridgecorp boss Rod Petricevic will be released from jail next month .,280704.jpg,Rod Petricevic,0
Tried HoloLens for an out of game Halo 5 experience and holograms are totally awesome # E3,638395.jpg,HoloLens,2
Tried HoloLens for an out of game Halo 5 experience and holograms are totally awesome # E3,638395.jpg,# E3,2
RT @ BBC Travel : Chasing light and shadows in beautiful # Iran : # architecture,138186.jpg,# Iran,2
RT @ MySportsLegion : LeBron James is already wearing a Johnny Football Browns jersey . ( via @ WFNYScott ),512435.jpg,LeBron James,1
RT @ MySportsLegion : LeBron James is already wearing a Johnny Football Browns jersey . ( via @ WFNYScott ),512435.jpg,Johnny,1
RT @ MySportsLegion : LeBron James is already wearing a Johnny Football Browns jersey . ( via @ WFNYScott ),512435.jpg,Football Browns,1
RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at Hayes st hill ( per Mayors office ) # KTVU,722168.jpg,Hayes st hill,0
RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at Hayes st hill ( per Mayors office ) # KTVU,722168.jpg,# KTVU,1
GOP gov candidate Kirk Dillard greets supporters as the race tightens on primary election night,74090.jpg,GOP,2
GOP gov candidate Kirk Dillard greets supporters as the race tightens on primary election night,74090.jpg,Kirk Dillard,2
RT @ BI Defense : Britain scrambles Typhoon jets to see off Russian bombers,73066.jpg,Britain,1
UNCTAD tells # Congobrazza to do more to attract foreign companies in agriculture,623109.jpg,UNCTAD,1
Hanging out with Corey # Blackhawks # WinterClassic,71953.jpg,Corey,2
Hanging out with Corey # Blackhawks # WinterClassic,71953.jpg,# Blackhawks,2
RT @ ESPN FirstTake : I think he should STAY in New England . - @ stephenasmith # RevisFuture,1748621.jpg,New England,1
Taiwan holds its own mini - parade around 70th anniversary of WWII victory : https : t . co JNz6Ocp595,559998.jpg,Taiwan,1
Taiwan holds its own mini - parade around 70th anniversary of WWII victory : https : t . co JNz6Ocp595,559998.jpg,WWII,2
. @ TheSwonBrothers @ SwonBrothers Performing July 24th at the Fayette County Fair,578058.jpg,Fayette County Fair,1
"RT @ nytimes : A French take on tagine , from Daniel Boulud",117833.jpg,Daniel Boulud,1
RT @ thehill : Poll : Bush amp Trump lead 2016 GOP field,116990.jpg,Bush,1
RT @ thehill : Poll : Bush amp Trump lead 2016 GOP field,116990.jpg,Trump,1
RT @ thehill : Poll : Bush amp Trump lead 2016 GOP field,116990.jpg,GOP,1
RT @ business : Apple is now almost twice as valuable as the next biggest company on Earth,38154.jpg,Apple,2
RT @ barrabest : A great photo of # Belfast City Hall . Taken @ DeeGregg .,488240.jpg,# Belfast City Hall,2
"Brent Seabrook celebrates his goal , but the good times didn ' t last . # Blackhawks fall :",70943.jpg,Brent Seabrook,2
"Brent Seabrook celebrates his goal , but the good times didn ' t last . # Blackhawks fall :",70943.jpg,# Blackhawks,0
This is a fantastic idea - a purifying wave pool for surfers built into the Rotterdam canals :,569602.jpg,Rotterdam canals,1
RT @ Cosmopolitan : It ' s OK if these sexy shirtless photos of TFIOS ' Ansel Elgort makes you . . . feel things,73141.jpg,Ansel Elgort,1
RT @ BarackObama : # ClimateChangeIsReal . So are the actions President Obama is taking to tackle it .,1490725.jpg,President Obama,2
